,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.87711962343588,0.013985934751605,0.005642225310037,166,13,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.131926868098188
2,2,-7.87891500165014,0.001795378214257,0.00384684709578,189,16,40,11,11,s_q_exc_5_11,"[5, 11]",0.444812295668688
3,3,-7.88058156620304,0.0016665645529,0.002180282542881,71,29,73,22,22,"d_q_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",-0.057391583618475
4,4,-7.88116429463576,0.000582728432719,0.001597554110162,297,42,106,33,33,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.017448000397788
5,5,-7.88171977610406,0.000555481468304,0.001042072641858,754,55,139,33,33,"d_q_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",-0.294827078362604
6,6,-7.88213359281007,0.000413816706009,0.000628255935848,956,68,172,44,44,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.021889638538592
7,7,-7.88233760989388,0.00020401708381,0.000424238852038,876,71,179,47,48,s_q_exc_2_4,"[2, 4]",-0.02359459088175
8,8,-7.88252016225763,0.000182552363753,0.000241686488286,1037,74,186,47,48,s_q_exc_3_5,"[3, 5]",0.03805156632896
9,9,-7.88259730235789,7.71401002594985E-05,0.000164546388026,639,87,219,47,48,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.000926419199254
10,10,-7.88261907799193,2.17756340408215E-05,0.000142770753985,1246,100,252,53,58,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.003397797423309
11,11,-7.88264058601737,2.15080254353239E-05,0.00012126272855,1843,113,285,53,58,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.003677587158616
12,12,-7.88266182497938,2.1238962014003E-05,0.000100023766536,1664,126,318,59,68,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.121941760333075
13,13,-7.8826828026469,2.09776675159645E-05,7.9046099020097E-05,706,139,351,59,68,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.013186023000988
14,14,-7.88270089462991,1.80919830174986E-05,6.09541160025984E-05,481,152,384,59,68,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.002277867401541
15,15,-7.88271885247404,1.79578441263928E-05,4.29962718762056E-05,1202,165,417,59,68,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.002321717108772
16,16,-7.88273412527349,1.52727994446877E-05,2.77234724315178E-05,775,168,424,62,72,s_q_exc_2_10,"[2, 10]",0.005886752693578
17,17,-7.88273981596711,5.69069362743591E-06,2.20327788040819E-05,1312,181,457,66,72,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.000859507396852
18,18,-7.88274211729268,2.30132556922058E-06,1.97314532348614E-05,2558,194,490,68,82,"d_q_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",0.001002540925522
19,19,-7.88274442022281,2.30293013192551E-06,1.74285231029359E-05,2616,207,523,77,82,"d_q_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",0.001020550934122
20,20,-7.88274635966506,1.93944224502474E-06,1.54890808579111E-05,4116,220,556,77,84,"d_q_exc_[1, 4]_[8, 9]","[[1, 4], [8, 9]]",-0.012528368369697
21,21,-7.88274827448335,1.91481829237006E-06,1.35742625655411E-05,2496,233,589,79,95,"d_q_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",-0.020108364050379
22,22,-7.88275009332505,1.81884169681013E-06,1.17554208687309E-05,3331,246,622,90,106,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.003089103647206
23,23,-7.88275188604785,1.79272280576015E-06,9.96269806297079E-06,2764,259,655,90,106,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-0.000837143364927
24,24,-7.88275350180031,1.6157524571625E-06,8.34694560580829E-06,1639,262,662,90,106,s_q_exc_3_11,"[3, 11]",-0.002591843111686
25,25,-7.88275508098519,1.57918487975195E-06,6.76776072605634E-06,3225,275,695,99,106,"d_q_exc_[0, 5]_[6, 7]","[[0, 5], [6, 7]]",-0.124981740437667
26,26,-7.88275664233465,1.56134946394104E-06,5.2064112621153E-06,2325,288,728,110,110,"d_q_exc_[0, 5]_[8, 9]","[[0, 5], [8, 9]]",-0.140115395216464
27,27,-7.88275739303343,7.50698774254488E-07,4.45571248786081E-06,2466,291,735,110,110,s_q_exc_1_11,"[1, 11]",-0.000510135376457
28,28,-7.88275803348669,6.40453263756058E-07,3.81525922410475E-06,4421,294,742,113,114,s_q_exc_0_10,"[0, 10]",0.000511457636527
29,29,-7.88275859273456,5.59247870235424E-07,3.25601135386933E-06,4699,307,775,113,121,"d_q_exc_[1, 4]_[10, 11]","[[1, 4], [10, 11]]",-0.007443659960362
30,30,-7.88275934731975,7.54585187223711E-07,2.50142616664561E-06,2689,320,808,113,121,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.002758279984122
31,31,-7.88275968304716,3.35727404987551E-07,2.16569876165806E-06,5160,323,815,116,121,s_q_exc_0_2,"[0, 2]",-0.001434782745396
32,32,-7.88275991059424,2.27547081621537E-07,1.93815168003653E-06,7870,336,848,127,129,"d_q_exc_[0, 3]_[4, 11]","[[0, 3], [4, 11]]",0.006039781916555
33,33,-7.88276038737658,4.76782345160132E-07,1.46136933487639E-06,4352,349,881,138,140,"d_q_exc_[0, 5]_[10, 11]","[[0, 5], [10, 11]]",-0.015396882286389
34,34,-7.88276054414436,1.56767776537947E-07,1.30460155833845E-06,8318,362,914,138,140,"d_q_exc_[1, 4]_[5, 10]","[[1, 4], [5, 10]]",0.008275716431093
35,35,-7.88276067362163,1.2947726979462E-07,1.17512428854383E-06,4905,365,921,138,140,s_q_exc_1_5,"[1, 5]",0.002302469747851
36,36,-7.88276077129235,9.76707221767015E-08,1.07745356636713E-06,4458,378,954,149,151,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",0.001116735520254
37,37,-7.8827608611016,8.98092471501855E-08,9.8764431921694E-07,5617,391,987,149,157,"d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",0.000504372473393
38,38,-7.88276092601821,0.019627237333935,9.22727707575177E-07,10732,404,1020,160,162,"d_q_exc_[0, 5]_[8, 9]","[[0, 5], [8, 9]]",0.125666121878563
