,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.87711962343588,0.013985934751609,0.005642225310016,21,6,9,4,3,1j [X2 X3 X10 Y11],[],0.0961730394
2,2,-7.87888799860764,0.001768375171756,0.00387385013826,344,12,18,8,6,1j [X2 X3 X4 Y11],[],0.0535478442
3,3,-7.88052593275259,0.001637934144955,0.002235915993305,61,18,27,12,6,1j [X2 Y3 X5 X10],[],0.0447127201
4,4,-7.88061276438296,8.6831630363271E-05,0.002149084362942,73,24,36,12,6,1j [X0 Y1 X4 X5],[],-0.0424691095
5,5,-7.88117724137319,0.000564476990232,0.00158460737271,134,30,45,16,8,1j [Y2 X3 X4 X5],[],-0.0326815264
6,6,-7.88165077541818,0.000473534044993,0.001111073327717,201,36,54,20,10,1j [X2 X3 X8 Y9],[],0.0161910312
7,7,-7.88210792074508,0.000457145326899,0.000653928000818,406,42,63,24,12,1j [X2 Y3 X6 X7],[],-0.0118979557
8,8,-7.88212420576042,1.62850153380134E-05,0.00063764298548,161,48,72,24,12,1j [X0 X1 X6 Y7],[],0.00323219847
9,9,-7.88214011203632,1.59062758999795E-05,0.00062173670958,265,54,81,24,12,1j [X0 Y1 X8 X9],[],-0.00316847395
10,10,-7.88216061594029,2.05039039693489E-05,0.000601232805611,289,60,90,24,14,1j [X1 X2 X6 Y7],[],-0.00023110161
11,11,-7.88218111576759,2.04998272987922E-05,0.000580732978312,1377,66,99,28,14,1j [X0 X3 X8 Y9],[],0.00111944138
12,12,-7.88220114837322,2.00326056303268E-05,0.000560700372682,1895,72,108,32,16,1j [Y0 Y3 X6 Y7],[],0.0024755713
13,13,-7.88222117808918,2.00297159578255E-05,0.000540670656724,661,78,117,32,16,1j [Y1 Y2 X8 Y9],[],-0.00184949456
14,14,-7.88222686524348,5.6871543065995E-06,0.000534983502417,1500,84,126,32,16,1j [X0 X1 X10 Y11],[],0.000546656846
15,15,-7.88240234639136,0.000175481147878,0.000359502354539,528,86,131,32,18,1j [Y2 X4],1j [Y2 X4],-0.0247077032
16,16,-7.88255789040731,0.00015554401595,0.000203958338589,901,88,136,34,18,1j [Y3 X5],1j [Y3 X5],0.0212070411
17,17,-7.88260221723588,4.43268285721388E-05,0.000159631510017,780,94,145,38,20,1j [X2 X3 X6 Y7],[],0.0168656235
18,18,-7.88264468950811,4.2472272228089E-05,0.000117159237789,1161,100,154,42,22,1j [X2 Y3 X8 X9],[],-0.0118103516
19,19,-7.88265965727474,1.49677666261283E-05,0.000102191471163,904,102,159,42,24,1j [Y2 X10],1j [Y2 X10],0.00199384275
20,20,-7.88266197202351,2.31474877310234E-06,9.98767223894248E-05,815,108,168,46,24,1j [X0 X3 X5 Y10],[],0.00190842561
21,21,-7.88266426947341,2.2974499005457E-06,9.75792724888791E-05,576,114,177,46,26,1j [X1 X2 X4 Y11],[],0.000142604932
22,22,-7.88266601902311,1.74954970066921E-06,9.58297227882099E-05,1153,120,186,46,28,1j [Y0 Y2 Y4 X10],[],-0.0143849017
23,23,-7.88266777553751,1.7565144005971E-06,9.40732083876128E-05,1051,126,195,50,28,1j [Y1 Y3 Y5 X11],[],0.0061653461
24,24,-7.8826715181653,3.74262779256895E-06,9.03305805950438E-05,833,128,200,52,28,1j [X3 Y11],1j [X3 Y11],0.108022826
25,25,-7.88269451749838,2.29993330806977E-05,6.73312475143462E-05,3009,130,205,54,30,1j [X3 Y5],1j [X3 Y5],-0.0185198138
26,26,-7.88269523596564,7.1846725724356E-07,6.66127802571026E-05,925,132,210,54,30,1j [X1 Y11],1j [X1 Y11],-0.000835432686
27,27,-7.88269582918688,5.93221241018682E-07,6.60195590160839E-05,1161,134,215,54,30,1j [X0 Y10],1j [X0 Y10],-0.00727907208
28,28,-7.88271332353999,1.74943531021654E-05,4.85252059139185E-05,2862,136,220,54,30,1j [X2 Y4],1j [X2 Y4],0.324132941
29,29,-7.88274281726996,2.94937299791798E-05,1.90314759347388E-05,2078,142,229,58,32,1j [X2 Y3 Y10 Y11],[],0.0152935338
30,30,-7.88274307359047,2.56320505265251E-07,1.87751554294735E-05,2017,148,238,58,34,1j [X1 Y2 X10 X11],[],0.000112218387
31,31,-7.88274319379083,1.20200360775868E-07,1.86549550686976E-05,2905,154,247,58,34,1j [Y0 Y1 Y4 X11],[],0.00585404255
32,32,-7.8827433929123,1.99121469535157E-07,1.84558335991625E-05,2619,160,256,62,34,1j [Y0 X3 Y10 Y11],[],0.00107277228
33,33,-7.88274347412284,8.12105405145758E-08,1.83746230586479E-05,2451,166,265,62,34,1j [Y0 Y1 Y5 X10],[],0.0169590669
34,34,-7.8827436414583,1.67335459266837E-07,1.82072875993811E-05,901,168,270,62,34,1j [X1 Y5],1j [X1 Y5],0.00188148157
35,35,-7.88274375172717,1.1026886870269E-07,1.80970187306784E-05,3294,170,275,62,34,1j [Y0 X4],1j [Y0 X4],-0.00408182628
36,36,-7.8827438453093,9.35821349301591E-08,1.80034365957482E-05,3839,176,284,62,36,1j [X1 Y2 Y4 Y5],[],0.00750981099
37,37,-7.88274431703244,4.71723135220259E-07,1.7531713460528E-05,2653,182,293,62,36,1j [X0 Y1 Y4 Y11],[],0.00571925844
38,38,-7.88274491334384,5.96311402034644E-07,1.69354020584933E-05,2681,188,302,66,36,1j [X0 X3 X6 Y7],[],0.00147858288
39,39,-7.88274497941412,6.60702754728959E-08,1.68693317830204E-05,5342,194,311,70,38,1j [X0 Y3 Y4 Y5],[],-0.664453918
40,40,-7.88274552540221,5.45988091182892E-07,1.63233436918375E-05,4663,200,320,70,38,1j [Y1 Y2 X6 Y7],[],-0.00162421911
41,41,-7.88274555149196,2.6089756133274E-08,1.62972539357042E-05,3355,206,329,70,40,1j [Y1 Y2 X5 Y10],[],0.00116069617
42,42,-7.88274587722753,0.019612188543262,1.59715183656317E-05,1893,212,338,70,42,1j [X1 X2 X8 Y9],[],0.000188790838
43,43,-7.88274601990974,1.42682210046985E-07,1.58288361555847E-05,2116,218,347,70,42,1j [Y0 Y1 X5 Y10],[],-0.0123041429
44,44,-7.88274629530755,2.75397807669719E-07,1.5553438347915E-05,2117,224,356,74,42,1j [Y0 Y3 X8 Y9],[],0.000102920189
45,45,-7.88274749625518,1.20094763822465E-06,1.43524907096904E-05,2351,230,365,78,44,1j [Y2 Y3 X5 Y10],[],-0.0213831703
46,46,-7.88274749733261,0.01961380864834,1.43514132844302E-05,3650,236,374,82,44,1j [X0 Y3 Y4 Y5],[],0.665010788
47,47,-7.88274963787687,2.14054425917709E-06,1.22108690252531E-05,5000,242,383,86,46,1j [Y2 Y3 Y4 X5],[],0.0026772003
48,48,-7.88274980986261,1.71985733210533E-07,1.20388832920426E-05,7702,248,392,90,48,1j [X0 X3 X4 Y11],[],-0.00900959452
